多线路央视备用新V4,#genre#

拜拜,https://vd2.bdstatic.com/mda-refjgvx7nhrha8js/cae_h264/1747403357338896764/mda-refjgvx7nhrha8js.mp4

再见1,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4

MiamiTV,https://59ec5453559f0.streamlock.net/miamitvfashion/_definst_/smil:34256/chunklist_w1377592422_b5096000.m3u8

MiamiTV1,https://bdc8100df748400cabc7e133824c8ceb.mediatailor.us-east-2.amazonaws.com/v1/manifest/c3d3fd1c31fa281b88eab2cd253e2ca576b6628b/fast-jennylive/8738dc1c-ab34-4958-9459-4586ef68cae3/0.m3u8

服装,https://59ec5453559f0.streamlock.net/hiltonchannel/hiltonchannel/chunklist_w1804173992.m3u8

Now星影国hk,http://rihou.cc:555/tv/[Hk]Now星影
Now爆谷国hk,http://rihou.cc:555/tv/[Hk]Now爆谷


海滩美女,https://59ec5453559f0.streamlock.net/miamitvmodels/_definst_/smil:529634/chunklist_w1018397667_b5096000.m3u8


龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华卡通,http://cdn8.163189.xyz/163189/lhkt
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华洋片,http://cdn8.163189.xyz/163189/lhyp
美亚电影频标,http://php.jdshipin.com/PLTV/iptv.php?id=meiya

求索纪录HD,http://yp.qqqtv.top/1/api.php?id=%E6%B1%82%E7%B4%A2%E7%BA%AA%E5%BD%95HD&auth=666858
求索纪录HD,http://yp.qqqtv.top/1/api.php?id=%E6%B1%82%E7%B4%A2%E7%BA%AA%E5%BD%95HD&auth=666858
求索纪录HD,http://yp.qqqtv.top/1/api.php?id=%E6%B1%82%E7%B4%A2%E7%BA%AA%E5%BD%95HD&auth=666858
求索纪录HD,http://yp.qqqtv.top/1/api.php?id=%E6%B1%82%E7%B4%A2%E7%BA%AA%E5%BD%95HD&auth=666858
追剧少女,http://yp.qqqtv.top/1/api.php?id=%E8%BF%BD%E5%89%A7%E5%B0%91%E5%A5%B3&auth=666858
新片放映厅,http://yp.qqqtv.top/1/api.php?id=%E6%96%B0%E7%89%87%E6%94%BE%E6%98%A0%E5%8E%85&auth=666858
云上电影院,http://yp.qqqtv.top/1/api.php?id=%E4%BA%91%E4%B8%8A%E7%94%B5%E5%BD%B1%E9%99%A2&auth=666858

乌克兰,https://streamvideol1.luxnet.ua/news24/livenews_360p/index.m3u8

今日俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8

今日俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8


番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
华文三套,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
华文四套,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
华文五套,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
华文七套,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8


NOW爆谷台,https://bee.946985.filegear-sg.me/nowbgt/baogutai.m3u8
NOW爆谷台,http://23.237.228.133/live2/baogutai.m3u8

