星空云电视禁止商用,#genre#
星空4k,#genre#
❤️湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8 
❤️江苏卫视4K,http://218.206.221.78:90/hls/81/index.m3u8
❤️浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
❤️东方卫视4K,https://migu.188766.xyz/?migutoken=4e5bdbb61e0f006ac70bd37bae246b5c&id=dfws&type=sz
❤️东方卫视4K,http://i.iill.top:12838/sh/dfws
❤️深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
❤️北京卫视4K,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s110/index.m3u8?time=1765340414&sign=c893c732245ebf9e495d53a92c1223e1
❤️广东卫视4K,http://218.206.221.78:90/hls/25/index.m3u8
❤️四川卫视4K,http://218.206.221.78:90/hls/36/index.m3u8
❤️山东卫视4K,http://218.206.221.78:90/hls/27/index.m3u8
❤️河南卫视4K,http://123.149.236.223:9003/hls/111/index.m3u8#http://219.156.50.249:9999/rtp/225.1.4.254:1300
❤️峨眉电影4K,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/emdy4k_8000.m3u8$蜀小果
❤️峨眉电影4K,http://60.255.72.119:4022//udp/239.132.1.87:5000$四川/成都/广电网gua

淘电影,http://mingjd.cn:7077/rtp/239.3.1.250:8001$北京联
淘电影,http://www.chutouge.top:34022/rtp/239.3.1.250:8001
淘娱乐,http://mingjd.cn:7077/udp/239.3.1.100:8001$北京联通
淘剧场,http://mingjd.cn:7077/udp/239.3.1.95:8001$北京联通
淘Baby,http://mingjd.cn:7077/udp/239.3.1.238:8001$北京联通
淘萌宠,http://mingjd.cn:7077/udp/239.3.1.102:8001$北京联通
中國電影頻道,http://tl.061833.xyz/tl/null-6

CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC家庭影院,http://m.061899.xyz/mg/jtyy

CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy


CHC动作电影,http://sh.lnott.top:880/dx100.m3u8$辽宁移动
CHC家庭影院,http://sh.lnott.top:880/dx93.m3u8$辽宁移动
CHC影迷电影,http://sh.lnott.top:880/dx101.m3u8$辽宁移动

CHC影迷电影,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/jbtygqCHCjtyyH265_4000.m3u8

至臻4K,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=m
星空央卫,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws 
星空电影,#genre#
Now星影,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷,http://rihou.cc:555/tv/[Bx]Now爆谷
PopC电影,http://tl.061833.xyz/tl/popc
PopC电影,P2p://starvod.xyz:19806/688bba7c000da6943214e2280ad91465.ts
东森电影,http://51.89.166.17:3002/index.php?id=ettvmovie
东森洋片,http://51.89.166.17:3002/index.php?id=ettvwestern
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
星空卫视,P2p://starvod.xyz:19806/913e258484624493a5a6d960500b30cc.ts
美亞電影(港),http://tl.061833.xyz/tl/null-5
美亚电影(台),P2p://starvod.xyz:19806/f9cdad09f3cc47bc83ba1d94167ebe64.ts
美亚电影(台),http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影(台),http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
纬来电影,https://smt.1678520.xyz/smt3.2.1.php?id=videolandmovie
美亚电影(台),https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
私人影院,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
thrill电影,P2p://starvod.xyz:19806/68679be10008a36ea4fd4b2b3b26291d.ts 
壹电影,P2p://starvod.xyz:19806/599f2aabecde4ed4b5fff257c229f986.ts 

靖天电影,P2p://starvod.xyz:19806/7a72ea8d27d64fb9aae835c30af3b1cc.ts
靖天戏剧,P2p://starvod.xyz:19806/840e84aa0a114e108edcaf6137177c4a.ts
靖天映画,P2p://starvod.xyz:19806/9c504d3521e4481088a8a6c54fbac3d3.ts
采昌影剧,P2p://starvod.xyz:19806/33264996f0c14a369140623dca66da43.ts
数位电影,P2p://starvod.xyz:19806/37350129294343bcb28f6494c7ce4c07.ts
龙华电影,P2p://starvod.xyz:19806/574ee66b78d44e6e81450ae523041523.ts
靖洋戏剧,P2p://147.135.39.171:9906/6867a22a000b7799949ca28717b451f5.ts
龙祥电影
龙华洋片 
龙华经典 
ROCK Action,http://tl.061833.xyz/tl/rockaction
AXN,http://tl.061833.xyz/tl/axn
EYE-戏剧,http://51.89.166.17:3002/index.php?id=eyetvxiju_twn
Hits Movie,http://51.89.166.17:3002/index.php?id=Hitsmovie
Star Movies,http://51.89.166.17:3002/index.php?id=starmovies_raj
Starmaa Movies,http://51.89.166.17:3002/index.php?id=starmaamovies_raj

CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
1905力量影院,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905环球经典,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
中國電影,http://tl.061833.xyz/tl/null-6
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$浙江/绍兴/电信
峨眉电影 
峨眉电影,http://117.174.25.254:8188/rtp/239.0.0.9:5140$四川移动
峨眉电影,http://183.220.20.17:4321/udp/239.11.0.11:5140$四川移动
重温经典,https://other.ottiptv.cc/cwjd.m3u8
动作大片,https://yylunbo.ottiptv.cc/yy/1382736809
